volcano_number,volcano_name,eruption_number,vei,start_year,end_year,latitude,longitude,decade,country,region,subregion,elevation,tectonic_settings,volcano_type
290390,Alaid,22281,1,2018,2018.0,50.861,155.565,2010,Russia,Kuril Islands,Kuril Islands,2285.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352090,Sangay,22283,2,2018,2018.0,-2.005,-78.341,2010,Ecuador,South America,Ecuador,5286.0,Subduction zone / Continental crust (>25 km),Stratovolcano
345020,Rincon de la Vieja,22282,1,2018,2019.0,10.83,-85.324,2010,Costa Rica,México and Central America,Costa Rica,1916.0,Subduction zone / Continental crust (>25 km),Complex Volcano
353050,"Negra, Sierra",22279,2,2018,2018.0,-0.83,-91.17,2010,Ecuador,South America,Galapagos Islands,1124.0,Rift zone / Oceanic crust (< 15 km),Shield Volcano
344040,Telica,22277,1,2018,2018.0,12.606,-86.84,2010,Nicaragua,México and Central America,Nicaragua,1036.0,Subduction zone / Continental crust (>25 km),Stratovolcano
262000,Krakatau,22275,3,2018,2020.0,-6.102,105.423,2010,Indonesia,Indonesia,Krakatau,155.0,Subduction zone / Continental crust (>25 km),Caldera
263250,Merapi,22264,3,2018,2020.0,-7.54,110.446,2010,Indonesia,Indonesia,Java,2910.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300130,Karymsky,22265,3,2018,2018.0,54.049,159.443,2010,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,1513.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261140,Marapi,22262,2,2018,2018.0,-0.38,100.474,2010,Indonesia,Indonesia,Sumatra,2885.0,Subduction zone / Continental crust (>25 km),Complex Volcano
344020,San Cristobal,22266,1,2018,2018.0,12.702,-87.004,2010,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261170,Kerinci,22274,1,2018,2020.0,-1.697,101.264,2010,Indonesia,Indonesia,Sumatra,3800.0,Subduction zone / Continental crust (>25 km),Stratovolcano
223020,Nyamuragira,22315,0,2018,2020.0,-1.408,29.2,2010,DR Congo,Africa and Red Sea,Africa (central),3058.0,Rift zone / Continental crust (>25 km),Shield Volcano
233020,"Fournaise, Piton de la",22261,0,2018,2018.0,-21.244,55.708,2010,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
263200,Dieng Volcanic Complex,22263,1,2018,2018.0,-7.2,109.879,2010,Indonesia,Indonesia,Java,2565.0,Subduction zone / Continental crust (>25 km),Complex Volcano
282090,Kirishimayama,22257,3,2018,2018.0,31.934,130.862,2010,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1700.0,Subduction zone / Continental crust (>25 km),Shield Volcano
352090,Sangay,22259,1,2018,2018.0,-2.005,-78.341,2010,Ecuador,South America,Ecuador,5286.0,Subduction zone / Continental crust (>25 km),Stratovolcano
283120,Kusatsu-Shiranesan,22258,1,2018,2018.0,36.618,138.528,2010,Japan,"Japan, Taiwan, Marianas",Honshu,2165.0,Subduction zone / Continental crust (>25 km),Stratovolcano
272020,Kanlaon,22249,2,2017,2017.0,10.412,123.132,2010,Philippines,Philippines and SE Asia,Central Philippines,2435.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264020,Agung,22241,3,2017,2019.0,-8.343,115.508,2010,Indonesia,Indonesia,Lesser Sunda Islands,2997.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261230,Dempo,22248,1,2017,2017.0,-4.016,103.121,2010,Indonesia,Indonesia,Sumatra,3142.0,Subduction zone / Continental crust (>25 km),Stratovolcano
256010,Tinakula,22239,3,2017,2017.0,-10.386,165.804,2010,Solomon Islands,Melanesia and Australia,Santa Cruz Islands,796.0,Subduction zone / Crustal thickness unknown,Stratovolcano
290240,Sarychev Peak,22308,2,2017,2017.0,48.092,153.2,2010,Russia,Kuril Islands,Kuril Islands,1496.0,Subduction zone / Intermediate crust (15-25 km),Stratovolcano
282090,Kirishimayama,22242,2,2017,2017.0,31.934,130.862,2010,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1700.0,Subduction zone / Continental crust (>25 km),Shield Volcano
257030,Ambae,22240,3,2017,2018.0,-15.389,167.835,2010,Vanuatu,Melanesia and Australia,Vanuatu,1496.0,Subduction zone / Intermediate crust (15-25 km),Shield Volcano
344020,San Cristobal,22252,3,2017,2017.0,12.702,-87.004,2010,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261170,Kerinci,22273,1,2017,2017.0,-1.697,101.264,2010,Indonesia,Indonesia,Sumatra,3800.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352090,Sangay,22231,2,2017,2017.0,-2.005,-78.341,2010,Ecuador,South America,Ecuador,5286.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264050,Sangeang Api,22228,2,2017,2020.0,-8.2,119.07,2010,Indonesia,Indonesia,Lesser Sunda Islands,1912.0,Subduction zone / Continental crust (>25 km),Complex Volcano
233020,"Fournaise, Piton de la",22224,0,2017,2017.0,-21.244,55.708,2010,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
273010,Bulusan,22229,1,2017,2017.0,12.769,124.056,2010,Philippines,Philippines and SE Asia,Luzon,1535.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261140,Marapi,22226,1,2017,2017.0,-0.38,100.474,2010,Indonesia,Indonesia,Sumatra,2885.0,Subduction zone / Continental crust (>25 km),Complex Volcano
300130,Karymsky,22230,3,2017,2018.0,54.049,159.443,2010,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,1513.0,Subduction zone / Continental crust (>25 km),Stratovolcano
357090,Copahue,22232,1,2017,2018.0,-37.856,-71.183,2010,Chile-Argentina,South America,Central Chile and Argentina,2953.0,Subduction zone / Continental crust (>25 km),Stratovolcano
345020,Rincon de la Vieja,22208,2,2017,2018.0,10.83,-85.324,2010,Costa Rica,México and Central America,Costa Rica,1916.0,Subduction zone / Continental crust (>25 km),Complex Volcano
263200,Dieng Volcanic Complex,22227,1,2017,2017.0,-7.2,109.879,2010,Indonesia,Indonesia,Java,2565.0,Subduction zone / Continental crust (>25 km),Complex Volcano
345040,Poas,22209,1,2017,2017.0,10.2,-84.233,2010,Costa Rica,México and Central America,Costa Rica,2708.0,Subduction zone / Continental crust (>25 km),Stratovolcano
222120,"Lengai, Ol Doinyo",22284,0,2017,2020.0,-2.764,35.914,2010,Tanzania,Africa and Red Sea,Africa (eastern),2962.0,Rift zone / Continental crust (>25 km),Stratovolcano
360160,Kick 'em Jenny,22260,0,2017,2017.0,12.3,-61.64,2010,Grenada,West Indies,West Indies,-185.0,Subduction zone / Oceanic crust (< 15 km),Submarine Volcano
282080,Aira,22203,1,2017,2020.0,31.593,130.657,2010,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1117.0,Subduction zone / Continental crust (>25 km),Caldera
262000,Krakatau,22188,1,2017,2017.0,-6.102,105.423,2010,Indonesia,Indonesia,Krakatau,155.0,Subduction zone / Continental crust (>25 km),Caldera
344020,San Cristobal,22269,1,2017,2017.0,12.702,-87.004,2010,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
233020,"Fournaise, Piton de la",22184,0,2017,2017.0,-21.244,55.708,2010,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
311300,Bogoslof,22182,3,2016,2017.0,53.93,-168.03,2010,United States,Alaska,Aleutian Islands,150.0,Subduction zone / Intermediate crust (15-25 km),Submarine Volcano
223020,Nyamuragira,22202,0,2016,2017.0,-1.408,29.2,2010,DR Congo,Africa and Red Sea,Africa (central),3058.0,Rift zone / Continental crust (>25 km),Shield Volcano
261170,Kerinci,22172,1,2016,2016.0,-1.697,101.264,2010,Indonesia,Indonesia,Sumatra,3800.0,Subduction zone / Continental crust (>25 km),Stratovolcano
354006,Sabancaya,22158,3,2016,2020.0,-15.787,-71.857,2010,Peru,South America,Peru,5960.0,Subduction zone / Continental crust (>25 km),Stratovolcano
290380,Ebeko,22176,2,2016,2020.0,50.686,156.014,2010,Russia,Kuril Islands,Kuril Islands,1103.0,Subduction zone / Continental crust (>25 km),Stratovolcano
282110,Asosan,22174,3,2016,2016.0,32.884,131.104,2010,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1592.0,Subduction zone / Continental crust (>25 km),Caldera
300130,Karymsky,22178,2,2016,2016.0,54.049,159.443,2010,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,1513.0,Subduction zone / Continental crust (>25 km),Stratovolcano
241040,Whakaari/White Island,22147,1,2016,2016.0,-37.52,177.18,2010,New Zealand,New Zealand to Fiji,New Zealand,294.0,Subduction zone / Continental crust (>25 km),Stratovolcano
233020,"Fournaise, Piton de la",22145,0,2016,2016.0,-21.244,55.708,2010,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
268060,Gamalama,22150,1,2016,2016.0,0.8,127.33,2010,Indonesia,Indonesia,Halmahera,1715.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
264030,Rinjani,22149,2,2016,2016.0,-8.42,116.47,2010,Indonesia,Indonesia,Lesser Sunda Islands,3726.0,Subduction zone / Continental crust (>25 km),Stratovolcano
290360,Chikurachki,22153,2,2016,2016.0,50.324,155.461,2010,Russia,Kuril Islands,Kuril Islands,1781.0,Subduction zone / Continental crust (>25 km),Stratovolcano
273010,Bulusan,22151,2,2016,2017.0,12.769,124.056,2010,Philippines,Philippines and SE Asia,Luzon,1535.0,Subduction zone / Continental crust (>25 km),Stratovolcano
345040,Poas,22156,1,2016,2016.0,10.2,-84.233,2010,Costa Rica,México and Central America,Costa Rica,2708.0,Subduction zone / Continental crust (>25 km),Stratovolcano
233020,"Fournaise, Piton de la",22144,0,2016,2016.0,-21.244,55.708,2010,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
241040,Whakaari/White Island,22121,1,2016,2016.0,-37.52,177.18,2010,New Zealand,New Zealand to Fiji,New Zealand,294.0,Subduction zone / Continental crust (>25 km),Stratovolcano
390080,Bristol Island,22133,1,2016,2016.0,-59.017,-26.533,2010,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,1100.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
344020,San Cristobal,22130,2,2016,2016.0,12.702,-87.004,2010,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
252010,Langila,22123,2,2016,2018.0,-5.525,148.42,2010,Papua New Guinea,Melanesia and Australia,New Britain,1330.0,Subduction zone / Continental crust (>25 km),Complex Volcano
261170,Kerinci,22125,2,2016,2016.0,-1.697,101.264,2010,Indonesia,Indonesia,Sumatra,3800.0,Subduction zone / Continental crust (>25 km),Stratovolcano
390130,Zavodovski,22159,1,2016,2016.0,-56.3,-27.57,2010,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,551.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
290360,Chikurachki,22127,2,2016,2016.0,50.324,155.461,2010,Russia,Kuril Islands,Kuril Islands,1781.0,Subduction zone / Continental crust (>25 km),Stratovolcano
312030,Pavlof,22129,2,2016,2016.0,55.417,-161.894,2010,United States,Alaska,Alaska Peninsula,2493.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352090,Sangay,22237,2,2016,2016.0,-2.005,-78.341,2010,Ecuador,South America,Ecuador,5286.0,Subduction zone / Continental crust (>25 km),Stratovolcano
273010,Bulusan,22114,2,2016,2016.0,12.769,124.056,2010,Philippines,Philippines and SE Asia,Luzon,1535.0,Subduction zone / Continental crust (>25 km),Stratovolcano
357070,"Chillan, Nevados de",22119,2,2016,2020.0,-36.868,-71.378,2010,Chile,South America,Central Chile and Argentina,3180.0,Subduction zone / Continental crust (>25 km),Stratovolcano
266030,Soputan,22105,3,2016,2016.0,1.112,124.737,2010,Indonesia,Indonesia,Sulawesi,1785.0,Subduction zone / Continental crust (>25 km),Stratovolcano
344090,Momotombo,22107,2,2015,2016.0,12.423,-86.539,2010,Nicaragua,México and Central America,Nicaragua,1270.0,Subduction zone / Continental crust (>25 km),Stratovolcano
272020,Kanlaon,22106,2,2015,2016.0,10.412,123.132,2010,Philippines,Philippines and SE Asia,Central Philippines,2435.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261140,Marapi,22111,1,2015,2015.0,-0.38,100.474,2010,Indonesia,Indonesia,Sumatra,2885.0,Subduction zone / Continental crust (>25 km),Complex Volcano
263310,Tengger Caldera,22103,2,2015,2016.0,-7.942,112.95,2010,Indonesia,Indonesia,Java,2329.0,Subduction zone / Continental crust (>25 km),Stratovolcano
355100,Lascar,22110,2,2015,2017.0,-23.37,-67.73,2010,Chile,South America,"Northern Chile, Bolivia and Argentina",5592.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264030,Rinjani,22104,2,2015,2015.0,-8.42,116.47,2010,Indonesia,Indonesia,Lesser Sunda Islands,3726.0,Subduction zone / Continental crust (>25 km),Stratovolcano
344100,Masaya,22108,1,2015,2020.0,11.985,-86.165,2010,Nicaragua,México and Central America,Nicaragua,594.0,Subduction zone / Continental crust (>25 km),Caldera
290390,Alaid,21096,1,2015,2016.0,50.861,155.565,2010,Russia,Kuril Islands,Kuril Islands,2285.0,Subduction zone / Continental crust (>25 km),Stratovolcano
344040,Telica,21097,2,2015,2016.0,12.606,-86.84,2010,Nicaragua,México and Central America,Nicaragua,1036.0,Subduction zone / Continental crust (>25 km),Stratovolcano
357090,Copahue,21098,2,2015,2016.0,-37.856,-71.183,2010,Chile-Argentina,South America,Central Chile and Argentina,2953.0,Subduction zone / Continental crust (>25 km),Stratovolcano
266100,Lokon-Empung,21093,1,2015,2015.0,1.358,124.792,2010,Indonesia,Indonesia,Sulawesi,1580.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300260,Klyuchevskoy,21095,3,2015,2018.0,56.056,160.642,2010,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,4754.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352050,Cotopaxi,21088,2,2015,2016.0,-0.677,-78.436,2010,Ecuador,South America,Ecuador,5911.0,Subduction zone / Continental crust (>25 km),Stratovolcano
360160,Kick 'em Jenny,21090,0,2015,2015.0,12.3,-61.64,2010,Grenada,West Indies,West Indies,-185.0,Subduction zone / Oceanic crust (< 15 km),Submarine Volcano
268060,Gamalama,21087,2,2015,2015.0,0.8,127.33,2010,Indonesia,Indonesia,Halmahera,1715.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
264270,Sirung,21086,1,2015,2015.0,-8.508,124.13,2010,Indonesia,Indonesia,Lesser Sunda Islands,862.0,Subduction zone / Crustal thickness unknown,Complex Volcano
283020,Hakoneyama,21080,1,2015,2015.0,35.233,139.021,2010,Japan,"Japan, Taiwan, Marianas",Honshu,1438.0,Subduction zone / Continental crust (>25 km),Complex Volcano
354006,Sabancaya,21089,1,2015,2015.0,-15.787,-71.857,2010,Peru,South America,Peru,5960.0,Subduction zone / Continental crust (>25 km),Stratovolcano
222120,"Lengai, Ol Doinyo",22304,0,2015,2015.0,-2.764,35.914,2010,Tanzania,Africa and Red Sea,Africa (eastern),2962.0,Rift zone / Continental crust (>25 km),Stratovolcano
283110,Asamayama,21081,1,2015,2015.0,36.406,138.523,2010,Japan,"Japan, Taiwan, Marianas",Honshu,2568.0,Subduction zone / Continental crust (>25 km),Complex Volcano
345020,Rincon de la Vieja,22132,1,2015,2016.0,10.83,-85.324,2010,Costa Rica,México and Central America,Costa Rica,1916.0,Subduction zone / Continental crust (>25 km),Complex Volcano
342110,Pacaya,22157,1,2015,2020.0,14.382,-90.601,2010,Guatemala,México and Central America,Guatemala,2569.0,Subduction zone / Continental crust (>25 km),Complex Volcano
282050,Kuchinoerabujima,21073,3,2015,2015.0,30.443,130.217,2010,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,657.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
266100,Lokon-Empung,21071,1,2015,2015.0,1.358,124.792,2010,Indonesia,Indonesia,Sulawesi,1580.0,Subduction zone / Continental crust (>25 km),Stratovolcano
344040,Telica,21074,2,2015,2015.0,12.606,-86.84,2010,Nicaragua,México and Central America,Nicaragua,1036.0,Subduction zone / Continental crust (>25 km),Stratovolcano
273010,Bulusan,21072,2,2015,2015.0,12.769,124.056,2010,Philippines,Philippines and SE Asia,Luzon,1535.0,Subduction zone / Continental crust (>25 km),Stratovolcano
331021,Axial Seamount,21092,0,2015,2015.0,45.95,-130.0,2010,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),-1410.0,Rift zone / Oceanic crust (< 15 km),Submarine Volcano
358020,Calbuco,21076,4,2015,2015.0,-41.33,-72.618,2010,Chile,South America,Southern Chile and Argentina,1974.0,Subduction zone / Continental crust (>25 km),Stratovolcano
345070,Turrialba,20998,2,2015,2019.0,10.025,-83.767,2010,Costa Rica,México and Central America,Costa Rica,3340.0,Subduction zone / Continental crust (>25 km),Stratovolcano
344020,San Cristobal,22268,2,2015,2015.0,12.702,-87.004,2010,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
290360,Chikurachki,20990,3,2015,2015.0,50.324,155.461,2010,Russia,Kuril Islands,Kuril Islands,1781.0,Subduction zone / Continental crust (>25 km),Stratovolcano
233020,"Fournaise, Piton de la",20982,0,2015,2015.0,-21.244,55.708,2010,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
263340,Raung,21070,3,2015,2015.0,-8.119,114.056,2010,Indonesia,Indonesia,Java,3260.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352090,Sangay,22236,2,2015,2015.0,-2.005,-78.341,2010,Ecuador,South America,Ecuador,5286.0,Subduction zone / Continental crust (>25 km),Stratovolcano
266030,Soputan,20988,3,2015,2015.0,1.112,124.737,2010,Indonesia,Indonesia,Sulawesi,1785.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300260,Klyuchevskoy,20992,2,2015,2015.0,56.056,160.642,2010,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,4754.0,Subduction zone / Continental crust (>25 km),Stratovolcano
268060,Gamalama,20989,2,2014,2014.0,0.8,127.33,2010,Indonesia,Indonesia,Halmahera,1715.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
357120,Villarrica,20996,1,2014,2020.0,-39.42,-71.93,2010,Chile,South America,Central Chile and Argentina,2847.0,Subduction zone / Continental crust (>25 km),Stratovolcano
384010,Fogo,20977,3,2014,2015.0,14.95,-24.35,2010,Cape Verde,Atlantic Ocean,Cape Verde Islands,2829.0,Intraplate / Intermediate crust (15-25 km),Stratovolcano
351020,"Ruiz, Nevado del",20995,2,2014,2017.0,4.892,-75.324,2010,Colombia,South America,Colombia,5279.0,Subduction zone / Continental crust (>25 km),Stratovolcano
390090,Saunders,22271,1,2014,2020.0,-57.8,-26.483,2010,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,843.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
312030,Pavlof,20975,1,2014,2014.0,55.417,-161.894,2010,United States,Alaska,Alaska Peninsula,2493.0,Subduction zone / Continental crust (>25 km),Stratovolcano
345070,Turrialba,20974,2,2014,2014.0,10.025,-83.767,2010,Costa Rica,México and Central America,Costa Rica,3340.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264180,Lewotobi,20973,2,2014,2014.0,-8.542,122.775,2010,Indonesia,Indonesia,Lesser Sunda Islands,1703.0,Subduction zone / Crustal thickness unknown,Stratovolcano
283040,Ontakesan,20964,3,2014,2014.0,35.893,137.48,2010,Japan,"Japan, Taiwan, Marianas",Honshu,3067.0,Subduction zone / Continental crust (>25 km),Complex Volcano
345020,Rincon de la Vieja,20961,1,2014,2014.0,10.83,-85.324,2010,Costa Rica,México and Central America,Costa Rica,1916.0,Subduction zone / Continental crust (>25 km),Complex Volcano
282110,Asosan,20960,2,2014,2016.0,32.884,131.104,2010,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1592.0,Subduction zone / Continental crust (>25 km),Caldera
373030,Bardarbunga,20955,0,2014,2015.0,64.633,-17.516,2010,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),2000.0,Rift zone / Oceanic crust (< 15 km),Stratovolcano
342110,Pacaya,22222,1,2014,2015.0,14.382,-90.601,2010,Guatemala,México and Central America,Guatemala,2569.0,Subduction zone / Continental crust (>25 km),Complex Volcano
354006,Sabancaya,20953,1,2014,2014.0,-15.787,-71.857,2010,Peru,South America,Peru,5960.0,Subduction zone / Continental crust (>25 km),Stratovolcano
282050,Kuchinoerabujima,20952,1,2014,2014.0,30.443,130.217,2010,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,657.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
344020,San Cristobal,22267,2,2014,2014.0,12.702,-87.004,2010,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
252140,Rabaul,20957,3,2014,2014.0,-4.271,152.203,2010,Papua New Guinea,Melanesia and Australia,New Britain,688.0,Subduction zone / Continental crust (>25 km),Other
357090,Copahue,20954,1,2014,2014.0,-37.856,-71.183,2010,Chile-Argentina,South America,Central Chile and Argentina,2953.0,Subduction zone / Continental crust (>25 km),Stratovolcano
251020,Manam,20956,2,2014,2020.0,-4.08,145.037,2010,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,1807.0,Subduction zone / Continental crust (>25 km),Stratovolcano
233020,"Fournaise, Piton de la",20919,0,2014,2014.0,-21.244,55.708,2010,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
312030,Pavlof,20909,3,2014,2014.0,55.417,-161.894,2010,United States,Alaska,Alaska Peninsula,2493.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264050,Sangeang Api,20911,3,2014,2015.0,-8.2,119.07,2010,Indonesia,Indonesia,Lesser Sunda Islands,1912.0,Subduction zone / Continental crust (>25 km),Complex Volcano
223020,Nyamuragira,20942,0,2014,2016.0,-1.408,29.2,2010,DR Congo,Africa and Red Sea,Africa (central),3058.0,Rift zone / Continental crust (>25 km),Shield Volcano
284141,Ahyi,20936,0,2014,2014.0,20.42,145.03,2010,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",-75.0,Subduction zone / Crustal thickness unknown,Submarine Volcano
263300,Semeru,22221,3,2014,2020.0,-8.108,112.922,2010,Indonesia,Indonesia,Java,3657.0,Subduction zone / Continental crust (>25 km),Stratovolcano
262000,Krakatau,20932,1,2014,2014.0,-6.102,105.423,2010,Indonesia,Indonesia,Krakatau,155.0,Subduction zone / Continental crust (>25 km),Caldera
251030,Karkar,20910,1,2014,2014.0,-4.649,145.964,2010,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,1839.0,Subduction zone / Continental crust (>25 km),Stratovolcano
263250,Merapi,20892,3,2014,2014.0,-7.54,110.446,2010,Indonesia,Indonesia,Java,2910.0,Subduction zone / Continental crust (>25 km),Stratovolcano
263180,Slamet,20933,2,2014,2014.0,-7.242,109.208,2010,Indonesia,Indonesia,Java,3428.0,Subduction zone / Continental crust (>25 km),Stratovolcano
263280,Kelut,20934,4,2014,2014.0,-7.93,112.308,2010,Indonesia,Indonesia,Java,1731.0,Subduction zone / Continental crust (>25 km),Stratovolcano
344020,San Cristobal,20941,1,2014,2014.0,12.702,-87.004,2010,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261140,Marapi,20931,1,2014,2014.0,-0.38,100.474,2010,Indonesia,Indonesia,Sumatra,2885.0,Subduction zone / Continental crust (>25 km),Complex Volcano
311360,Shishaldin,20937,1,2014,2015.0,54.756,-163.97,2010,United States,Alaska,Aleutian Islands,2857.0,Subduction zone / Continental crust (>25 km),Stratovolcano
282110,Asosan,20935,1,2014,2014.0,32.884,131.104,2010,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1592.0,Subduction zone / Continental crust (>25 km),Caldera
263340,Raung,21069,1,2014,2014.0,-8.119,114.056,2010,Indonesia,Indonesia,Java,3260.0,Subduction zone / Continental crust (>25 km),Stratovolcano
263250,Merapi,20842,2,2013,2013.0,-7.54,110.446,2010,Indonesia,Indonesia,Java,2910.0,Subduction zone / Continental crust (>25 km),Stratovolcano
263090,Tangkuban Parahu,20987,1,2013,2013.0,-6.77,107.6,2010,Indonesia,Indonesia,Java,2084.0,Subduction zone / Continental crust (>25 km),Stratovolcano
221020,Zubair Group,21068,2,2013,2013.0,15.05,42.18,2010,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,191.0,Rift zone / Oceanic crust (< 15 km),Shield Volcano
344040,Telica,22195,1,2013,2013.0,12.606,-86.84,2010,Nicaragua,México and Central America,Nicaragua,1036.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261080,Sinabung,20818,4,2013,2018.0,3.17,98.392,2010,Indonesia,Indonesia,Sumatra,2460.0,Subduction zone / Continental crust (>25 km),Stratovolcano
211060,Etna,20841,2,2013,2020.0,37.748,14.999,2010,Italy,Mediterranean and Western Asia,Italy,3295.0,Subduction zone / Continental crust (>25 km),Stratovolcano
